Nucleus vestibularis medialis,cocomac:2137,medial vestibular nucleus,UBERON:0001722,FMA:54611
Nucleus paraventricularis anterior thalami,cocomac:1575,anterior paraventricular nucleus of thalamus,UBERON:0000434,FMA:76962
"Nucleus ventralis posterior medialis, pars parvocellularis",cocomac:781,parvicellular part of ventral posteromedial nucleus,UBERON:0003018,FMA:62207
Nucleus paraventricularis thalami,cocomac:2103,paraventricular nucleus of thalamus,UBERON:0001920,FMA:62152
dorsomedial nucleus (hypothalamus),cocomac:1253,dorsomedial nucleus of hypothalamus,UBERON:0001934,FMA:62331
"Nucleus ventralis lateralis thalami, pars medialis",cocomac:777,medial part of ventral lateral nucleus,UBERON:0002614,FMA:62195
Griseum centrale,cocomac:1670,central gray substance of midbrain,UBERON:0003040,FMA:74510
nucleus pulvinaris lateralis thalami,cocomac:731,lateral pulvinar nucleus,UBERON:0002636,FMA:62181
"Substantia nigra, pars compacta",cocomac:1199,substantia nigra pars compacta,UBERON:0001965,FMA:62907
Nucleus intercalatus amygdalae,cocomac:2198,intercalated amygdaloid nuclei,UBERON:0002884,FMA:61868
Nucleus of the posterior commissure,cocomac:676,nucleus of posterior commissure,UBERON:0002711,FMA:68463
Nucleus ambiguus,cocomac:2058,nucleus ambiguus,UBERON:0001719,FMA:54588
"Nucleus caudatus; body, lateral, ventral",cocomac:988,caudate nucleus,UBERON:0001873,FMA:61833
Lateral amygdaloid nucleus,cocomac:1334,lateral amygdaloid nucleus,UBERON:0002886,FMA:61866
"Nucleus caudatus; tail, medial, dorsal",cocomac:961,caudate nucleus,UBERON:0001873,FMA:61833
"Nucleus caudatus; tail, intermediate, central",cocomac:1141,caudate nucleus,UBERON:0001873,FMA:61833
Nucleus habenularis medialis,cocomac:217,medial habenular nucleus,UBERON:0001942,FMA:62373
Medial amygdaloid nucleus,cocomac:1329,medial amygdaloid nucleus,UBERON:0002892,FMA:74046
Central medial nucleus thalami,cocomac:783,central medial nucleus,UBERON:0001923,FMA:62171
Perirhinal cortex,cocomac:1941,perirhinal cortex,UBERON:0006083,
"Nucleus caudatus; head, lateral, dorsal",cocomac:953,caudate nucleus,UBERON:0001873,FMA:61833
Globus pallidus,cocomac:1167,globus pallidus,UBERON:0001875,FMA:61835
dorsal Lateral geniculate nucleus,cocomac:558,dorsal lateral geniculate nucleus,UBERON:0002479,FMA:62214
"Substantia nigra, pars compacta",cocomac:2124,substantia nigra pars compacta,UBERON:0001965,FMA:62907
Subiculum,cocomac:1422,subiculum,UBERON:0002191,FMA:74414
Basolateral nucleus of the amygdala,cocomac:1727,basal amygdaloid nucleus,UBERON:0002887,FMA:68855
inferior colliculus,cocomac:1008,inferior colliculus,UBERON:0001946,FMA:62404
"Nucleus caudatus; genu, medial, dorsal",cocomac:1139,caudate nucleus,UBERON:0001873,FMA:61833
"Nucleus caudatus; body, medial, central",cocomac:946,caudate nucleus,UBERON:0001873,FMA:61833
Hippocampus,cocomac:1515,Ammon's horn,UBERON:0001954,FMA:62493
Superior parietal lobule,cocomac:46,superior parietal cortex,UBERON:0006094,FMA:61899
Cortex insularis,cocomac:2153,insula,UBERON:0002022,FMA:67329
Dysgranular insula,cocomac:275,agranular insular cortex,UBERON:0034893,
"Putamen; caudal, lateral, ventral",cocomac:1096,putamen,UBERON:0001874,FMA:61834
Nucleus centralis lateralis thalami,cocomac:356,central lateral nucleus,UBERON:0003036,FMA:62170
superior temporal gyrus,cocomac:1243,superior temporal gyrus,UBERON:0002769,FMA:61905
